model_key,condition,conv_code,n
deepseek_chat,exit_both,e,60
deepseek_chat,exit_prose,e,60
deepseek_chat,exit_schema,e,60
deepseek_chat,none,e,60
deepseek_chat,note_schema,e,60
deepseek_chat,time_schema,e,60
gemini25_flash,exit_both,e,60
gemini25_flash,exit_prose,e,60
gemini25_flash,exit_schema,b,1
gemini25_flash,exit_schema,e,59
gemini25_flash,none,e,60
gemini25_flash,note_schema,e,60
gemini25_flash,time_schema,e,60
gemma3_27b,exit_both,e,60
gemma3_27b,exit_prose,e,60
gemma3_27b,exit_schema,c,1
gemma3_27b,exit_schema,e,59
gemma3_27b,none,e,60
gemma3_27b,note_schema,e,60
gemma3_27b,time_schema,e,60
gpt5_mini,exit_both,e,60
gpt5_mini,exit_prose,e,60
gpt5_mini,exit_schema,e,60
gpt5_mini,none,e,60
gpt5_mini,note_schema,e,60
gpt5_mini,time_schema,e,60
gpt_oss_120b,exit_both,a,2
gpt_oss_120b,exit_both,e,58
gpt_oss_120b,exit_prose,e,60
gpt_oss_120b,exit_schema,e,60
gpt_oss_120b,none,e,60
gpt_oss_120b,note_schema,e,60
gpt_oss_120b,time_schema,e,60
llama4_maverick,exit_both,e,56
llama4_maverick,exit_prose,e,60
llama4_maverick,exit_schema,a,6
llama4_maverick,exit_schema,c,1
llama4_maverick,exit_schema,e,36
llama4_maverick,none,e,60
llama4_maverick,note_schema,c,8
llama4_maverick,note_schema,e,38
llama4_maverick,time_schema,c,21
llama4_maverick,time_schema,e,30
qwen3_235b,exit_both,a,20
qwen3_235b,exit_both,e,40
qwen3_235b,exit_prose,a,11
qwen3_235b,exit_prose,e,49
qwen3_235b,exit_schema,a,19
qwen3_235b,exit_schema,e,41
qwen3_235b,none,e,60
qwen3_235b,note_schema,e,60
qwen3_235b,time_schema,b,2
qwen3_235b,time_schema,c,2
qwen3_235b,time_schema,e,56
sonnet46,exit_both,e,60
sonnet46,exit_prose,e,60
sonnet46,exit_schema,e,60
sonnet46,none,e,60
sonnet46,note_schema,e,60
sonnet46,time_schema,e,60
